رقم العميل,اسم العميل,الحقول الناقصة أو الوهمية
2238,دليل الشبكة للتجارة,الشارع
1439,مؤسسة رواسي البتراء,المبنى
1922,مؤسسة تقدم الاعمار للمقاولات العامة,"المبنى, الشارع, الحي"
